"MILK,BREAD,BISCUIT"
"BREAD,MILK,BISCUIT,CORNFLAKES"
"BREAD,TEA,BOURNVITA"
"JAM,MAGGI,BREAD,MILK"
"MAGGI,TEA,BISCUIT"
"BREAD,TEA,BOURNVITA"
"MAGGI,TEA,CORNFLAKES"
"MAGGI,BREAD,TEA,BISCUIT"
"JAM,MAGGI,BREAD,TEA"
"BREAD,MILK"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,SUGER,BOURNVITA"
"BREAD,COFFEE,COCK"
"BREAD,SUGER,BISCUIT"
"COFFEE,SUGER,CORNFLAKES"
"BREAD,SUGER,BOURNVITA"
"BREAD,COFFEE,SUGER"
"BREAD,COFFEE,SUGER"
"TEA,MILK,COFFEE,CORNFLAKES"
"BREAD,COFFEE,SUGER,MILK"
"BREAD,TEA,COFFEE,MILK"
"COFFEE,TEA,SUGER,MILK"
"COFFEE,COCK,BISCUIT"
"BREAD,SUGER,MILK"
"TEA,COFFEE,MILK,SUGER"
"BREAD,TEA,COFFEE,SUGER"
"COFFEE,TEA,BISCUIT,CORNFLAKES"
"BREAD,MILK,TEA,SUGER"
"BREAD,COFFEE,TEA,BISCUIT"
"COFFEE,COCK,BISCUIT,SUGER"
"BREAD,MILK,COFFEE,SUGER"
"TEA,BISCUIT,CORNFLAKES,SUGER"
"BREAD,COFFEE,COCK,MILK"
"TEA,BISCUIT,MILK,SUGER"
"COFFEE,TEA,BISCUIT,SUGER"
"BREAD,MILK,COFFEE,SUGER"
"BREAD,COFFEE,COCK,BISCUIT"
"BREAD,TEA,BOURNVITA,MAGGI"
"TEA,COFFEE,BOURNVITA,SUGER"
"BREAD,TEA,COFFEE,SUGER"
"TEA,COFFEE,MILK,SUGER"
"BREAD,TEA,COFFEE,SUGER"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"BREAD,MILK,SUGER"
"BREAD,TEA,BOURNVITA"
"BREAD,TEA,COFFEE,MILK"
"BREAD,COFFEE,COCK"
"BREAD,TEA,COFFEE,SUGER"
"BREAD,MILK,TEA"
"BREAD,COFFEE,COCK"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"TEA,MILK,COFFEE,CORNFLAKES"
"BREAD,MILK,TEA,SUGER"
"BREAD,COFFEE,TEA,BISCUIT"
"COFFEE,COCK,BISCUIT,SUGER"
"BREAD,MILK,COFFEE,SUGER"
"TEA,BISCUIT,CORNFLAKES,SUGER"
"BREAD,COFFEE,COCK,MILK"
"TEA,BISCUIT,MILK,SUGER"
"COFFEE,TEA,BISCUIT,SUGER"
"BREAD,MILK,COFFEE,SUGER"
"BREAD,COFFEE,COCK,BISCUIT"
"BREAD,TEA,BOURNVITA,MAGGI"
"TEA,COFFEE,BOURNVITA,SUGER"
